"SPECIES","COMMON_NAME","SCI_NAME"
318,"Tiger Trout (brook trout x brown trout)      ",""
127,"Burbot                                       ","Lota lota                                    "
128,"Brook stickleback                            ","Eucalia inconstans                           "
129,"Threespine stickleback                       ","Gasterosteus aculeatus                       "
130,"Ninespine stickleback                        ","Pungitius pungitius                          "
805,"Ruffe                                        ","Gymnocephalus cernuus                        "
418,"Shorthead Redhorse                           ","Moxostoma breviceps                          "
950,"Zebra mussel                                 ","Dreissena polymorpha                         "
160,"Tiger muskellunge                            ","muskellunge x northern pike hybrid           "
910,"Round goby                                   ","Neogobius melanostomus                       "
529,"Northern Redbelly Dace                       ","Chrosomus eos                                "
6,"Unidentified Ichthyomyzon                    ","Ichthyomyzon sp.                             "
191,"Unidentified Morone                          ","Morone sp.                                   "
534,"Rosyface Shiner                              ","Notropis rubellus                            "
531,"River Chub                                   ","Nocomis micropogon                           "
399,"Salmon (unidentified)                        ",""
951,"Quagga mussel                                ","Dreissena bugensis                           "
952,"Dreissena spp.                               ",""
15,"Crayfish                                     ",""
430,"Unidentified Buffalo                         ",""
613,"Sunfish (Lepomis sp.)                        ",""
54,"Frog                                         ",""
218,"Deep-bodied cisco type (Lake Superior)       ",""
530,"Finescale dace                               ","Phoxinus neogaeus                            "
532,"Brassy Minnow                                ","Hybognathus hankinsoni Hubbs                 "
533,"Blacknose Dace                               ","Rhinichthys atratulus                        "
911,"Tubenose goby                                ","Proterorhinus marmoratus                     "
905,"Slimy and spoonhead sculpin                  ","Cottus spp.                                  "
144,"Blueback Herring                             ","Alosa aestivalis                             "
930,"Fourspine stickleback                        ","Apeltes quadracus                            "
600,"Sunfish and bass                             ",""
601,"Rockbass                                     ","Ambloplites rupestris                        "
602,"Warmouth                                     ","Chaenobryttus gulosus                        "
603,"Green sunfish                                ","Lepomis cyanellus                            "
604,"Pumpkinseed                                  ","Lepomis gibbosus                             "
605,"Bluegill                                     ","Lepomis macrochirus                          "
606,"Longear sunfish                              ","Lepomis megalotis                            "
607,"Smallmouth bass                              ","Micropterus dolomieui                        "
608,"Largemouth bass                              ","Micropterus salmoides                        "
609,"White crappie                                ","Pomoxis annularis                            "
610,"Black crappie                                ","Pomoxis nigromaculatus                       "
611,"Crappies                                     ","Pomoxis spp.                                 "
612,"Orange spotted sunfish                       ","Lepomis humilis                              "
701,"Eastern sand darter                          ","Ammocrypta pellucida                         "
702,"Greenside darter                             ","Etheostoma blennoides                        "
703,"Iowa darter                                  ","Etheostoma exile                             "
704,"Fantail darter                               ","Etheostoma flabellare                        "
705,"Least darter                                 ","Etheostoma microperca                        "
706,"Johnny darter                                ","Etheostoma nigrum                            "
707,"Logperch                                     ","Percina caprodes                             "
708,"Channel darter                               ","Percina copelandi                            "
709,"Blackside darter                             ","Percina maculata                             "
710,"River darter                                 ","Percina shumardi                             "
711,"Unidentified darters                         ",""
800,"Yellow perch and pikeperch                   ",""
801,"Yellow perch                                 ","Perca flavescens                             "
802,"Sauger                                       ","Stizostedion canadense                       "
803,"Walleye                                      ","Stizostedion vitreum vitreum                 "
804,"Blue pike (rare or extinct)                  ","Stizostedion vitreum glaucum                 "
900,"Sculpin                                      ",""
901,"Mottled sculpin                              ","Cottus bairdi                                "
902,"Slimy sculpin                                ","Cottus cognatus                              "
903,"Spoonhead sculpin                            ","Cottus ricei                                 "
904,"Deepwater sculpin                            ","Myoxocephalus thompsoni                      "
999,"Miscellaneous or unidentified species        ",""
417,"River redhorse                               ","Moxostoma carinatum                          "
423,"River carpsucker                             ","Carpiodes carpio                             "
424,"Highfin carpsucker                           ","Carpiodes velifer                            "
429,"Blue sucker                                  ","Cycleptus elongatus                          "
435,"Smallmouth buffalo                           ","Ictiobus bubalus                             "
436,"Black buffalo                                ","Ictiobus niger                               "
500,"Minnows                                      ",""
501,"Silver chub                                  ","Hybopsis storeriana                          "
502,"Golden shiner                                ","Notemigonus crysoleucas                      "
503,"Pugnose shiner                               ","Notropis anogenus                            "
504,"Emerald shiner                               ","Notropis atherinoides                        "
505,"Common shiner                                ","Notropis cornutus                            "
506,"Blackchin shiner                             ","Notropis heterodon                           "
507,"Blacknose shiner                             ","Notropis heterolepis                         "
508,"Spottail shiner                              ","Notropis hudsonius                           "
509,"Spotfin shiner                               ","Notropis spilopterus                         "
510,"Sand shiner                                  ","Notropis stramineus                          "
511,"Mimic shiner                                 ","Notropis volucellus                          "
512,"Pugnose minnow                               ","Opsopoedus emiliae                           "
513,"Bluntnose minnow                             ","Pimephales notatus                           "
514,"Fathead minnow                               ","Pimephales promelas                          "
515,"Longnose dace                                ","Rhinichthys cataractae                       "
516,"Unidentified minnows                         ",""
517,"Stoneroller                                  ","Campostoma anomalum                          "
518,"Creek chub                                   ","Semotilus atromaculatus                      "
519,"Lake chub                                    ","Hybopsis plumbea                             "
520,"Sturgeon chub                                ","Hybopsis gelida                              "
521,"Fallfish                                     ","Semotilus corporalis                         "
522,"Silver minnow                                ","Hybognathus nuchalis                         "
523,"Cutlips minnow                               ","Exoglassum maxillinguo                       "
524,"Bridle shiner                                ","Notropis bifrenatus                          "
525,"Striped shiner                               ",""
526,"Horneyhead chub                              ",""
527,"Redfin shiner                                ","Notropis umbratilis cyanocephalus            "
528,"Silver shiner                                ",""
217,"Unidentified coregonid                       ",""
300,"Trouts and graylings                         ",""
301,"Chinook salmon                               ","Oncorhynchus tshawytscha                     "
302,"Cutthroat trout                              ","Salmo clarki                                 "
303,"Rainbow trout (Steelhead)                    ","Salmo gairdneri                              "
304,"Atlantic salmon                              ","Salmo salar                                  "
305,"Brown trout                                  ","Salmo trutta                                 "
306,"Brook trout                                  ","Salvelinus fontinalis                        "
307,"Lake trout                                   ","Salvelinus namaycush                         "
308,"Siscowet (fat trout)                         ","Salvelinus namaycush siscowet                "
309,"Artic grayling                               ","Thymallus arcticus                           "
310,"Coho salmon                                  ","Oncorhynchus kisutch                         "
311,"Kokanee                                      ","Oncorhynchus nerka                           "
312,"Humper lake trout                            ",""
313,"Halfbreed lake trout                         ",""
961,"Mysis                                        ","Mysis spp.                                   "
535,"Unidentified shiner                          ","Notropis sp.                                 "
55,"Common mudpuppy                              ","Necturus maculosus                           "
940,"Vegetation/plant material                    ",""
806,"Chain pickerel                               ","Esox niger                                   "
614,"Unidentified Centrarchid                     ",""
712,"Tessellated darter                           ","Etheostoma olmstedi                          "
953,"Unionidae                                    ",""
314,"Splake (brook trout x lake trout)            ",""
315,"Released lake trout (commercial) MDNR use    ",""
316,"Pink salmon                                  ","Oncorhynchus gorbuscha                       "
317,"Native lake trout                            ",""
400,"Suckers                                      ",""
401,"Goldfish                                     ","Carassius auratus                            "
402,"Carp                                         ","Cyprinus carpio                              "
403,"Quillback                                    ","Carpiodes cyprinus                           "
404,"Longnose sucker                              ","Catostomus catostomus                        "
405,"White sucker                                 ","Catostomus commersoni                        "
406,"Lake chubsucker                              ","Erimyzon sucetta                             "
407,"Northern hogsucker                           ","Hypentelium nigricans                        "
408,"Bigmouth buffalo                             ","Ictiobus cyprinellus                         "
409,"Spotted sucker                               ","Minytrema melanops                           "
410,"Silver redhorse                              ","Moxostoma anisurum                           "
411,"Black redhorse                               ","Moxostoma duquesnei                          "
412,"Golden redhorse                              ","Moxostoma erythrurum                         "
413,"Northern redhorse                            ","Moxostoma macrolepidotum                     "
414,"Greater redhorse                             ","Moxostoma valenciennesi                      "
415,"Unidentified redhorse                        ",""
416,"Goldfish x carp hybrid                       ",""
131,"Trout-perch                                  ","Percopsis omiscomaycus                       "
132,"White perch                                  ","Morone americanus                            "
133,"White bass                                   ","Morone chrysops                              "
134,"Freshwater drum                              ","Aplodinotus grunniens                        "
135,"Shortnose sturgeon                           ","Acipenser brevirostrum                       "
136,"Pallid sturgeon                              ","Scaphirhynchus                               "
137,"Shovelnose sturgeon                          ","Scaphirhynchus platorynchus                  "
138,"Gar                                          ",""
139,"Alligator gar                                ","Lepisosteus spatula                          "
140,"Shortnose gar                                ","Lepisosteus platostomus                      "
143,"Skipjack herring                             ","Alosa chrysochloris                          "
146,"Goldeye                                      ","Hiodon alosoides                             "
150,"Blue catfish                                 ","Ictalurus furcatus                           "
151,"Bullheads                                    ",""
170,"Brook silverside                             ","Labidesthes sicculus                         "
190,"White perch/White bass (hybrid)              ",""
200,"Whitefishes                                  ",""
201,"Longjaw cisco (rare)                         ","Coregonus (Leucichthys) alpenae              "
202,"Cisco (lake herring)                         ","Coregonus (Leucichthys) artedi               "
203,"Lake whitefish                               ","Coregonus clupeaformis                       "
204,"Bloater                                      ","Coregonus (Leucichthys) hoyi                 "
205,"Deepwater cisco (extinct)                    ","Coregonus (Leucichthys) johannae             "
206,"Kiyi                                         ","Coregonus (Leucichthys) kiyi                 "
207,"Blackfin cisco (rare or extinct)             ","Coregonus (Leucichthys) nigripinnis          "
208,"Shortnose cisco                              ","Coregonus (Leucichthys) reighardi            "
209,"L. Superior shortnose                        ","Coregonus (Leucichthys) reighardi dymondi    "
210,"Shortjaw cisco (rare)                        ","Coregonus (Leucichthys) zenithicus           "
211,"Pygmy whitefish                              ","Prosopium coulteri                           "
212,"Round whitefish                              ","Prosopium cylindraceum                       "
213,"Unidentified chubs                           ",""
215,"Chubs (small)                                ",""
216,"Chubs                                        ",""
0,"No fish caught                               ",""
1,"Chestnut lamprey                             ","Ichthyomyzon castaneus                       "
2,"Northern brook lamprey                       ","Ichthyomyzon fossor                          "
3,"Silver lamprey                               ","Ichthyomyzon unicuspis                       "
4,"American brook lamprey                       ","lampetra lamottei                            "
5,"Sea lamprey                                  ","Petromyzon marinus                           "
101,"Lake sturgeon                                ","Acipenser fulvescens                         "
102,"Paddlefish                                   ","Polyodon spathula                            "
103,"Spotted gar                                  ","Lepisosteus oculatus                         "
104,"Longnose gar                                 ","Lepisosteus osseus                           "
105,"Bowfin                                       ","Amia calva                                   "
106,"Alewife                                      ","Alosa pseudoharengus                         "
107,"American shad                                ","Alosa sapidissima                            "
108,"Gizzard shad                                 ","Dorosoma cepedianum                          "
109,"Rainbow smelt                                ","Osmerus mordax                               "
110,"Mooneye                                      ","Hiodon tergisus                              "
111,"Central mudminnow                            ","Umbra limi                                   "
112,"Grass pickerel                               ","Esox americanus vermiculatus                 "
113,"Northern pike                                ","Esox lucius                                  "
114,"Muskellunge                                  ","Esox masquinongy                             "
115,"White catfish                                ","Ictalurus catus                              "
116,"Black bullhead                               ","Ictalurus melas                              "
117,"Yellow bullhead                              ","Ictalurus natalis                            "
118,"Brown bullhead                               ","Ictalurus nebulosus                          "
119,"Channel catfish                              ","Ictalurus punctatus                          "
120,"Stonecat                                     ","Noturus flavus                               "
121,"Tadpole madtom                               ","Noturus gyrinus                              "
122,"Brindled madtom                              ","Noturus minurus                              "
123,"Flathead catfish                             ","Pylodictus olivaris                          "
124,"American eel                                 ","Anguilla rostrata                            "
125,"Banded killifish                             ","Fundulus diaphanus                           "
126,"Mosquitofish                                 ","Gambusia affinis                             "
